S/N,Precinct,Number,Gender,Race,Age,Year,Quarter
0,6,1,Male,Hispanic,48,2017,1
1,7,2,Male,White,29,2017,1
2,7,3,Male,White,29,2017,1
3,14,4,Male,Hispanic,64,2017,1
4,14,5,Male,Hispanic,64,2017,1
5,14,6,Male,Hispanic,64,2017,1
6,14,7,Male,Hispanic,64,2017,1
7,14,8,Male,Hispanic,64,2017,1
8,14,9,Male,Hispanic,64,2017,1
9,14,10,Male,Hispanic,64,2017,1
10,14,11,Male,Hispanic,64,2017,1
11,14,12,Male,White,26,2017,1
12,14,13,Male,White,28,2017,1
13,19,14,Male,White,53,2017,1
14,20,15,Male,Hispanic,22,2017,1
15,22,16,Male,White,33,2017,1
16,52,17,Male,Black,40,2017,1
17,61,18,Male,White,25,2017,1
18,61,19,Male,Black,16,2017,1
19,71,20,Male,Black,11,2017,1
20,71,21,Male,Black,11,2017,1
21,75,22,Male,Black,28,2017,1
22,79,23,Male,Black,32,2017,1
23,79,24,Male,Black,32,2017,1
24,84,25,Male,White,36,2017,1
25,88,26,Male,Hispanic,60,2017,1
26,94,27,Male,Hispanic,32,2017,1
27,107,28,Male,Hispanic,28,2017,1
28,113,29,Male,White,57,2017,1
29,115,30,Male,Hispanic,38,2017,1
30,115,31,Male,Hispanic,38,2017,1
31,120,32,Female,White,38,2017,1
32,120,33,Female,White,38,2017,1
33,120,34,Female,White,38,2017,1
34,6,1,Male,White,59,2017,2
35,7,2,Male,White,23,2017,2
36,7,3,Male,Black,25,2017,2
37,7,4,Male,White,23,2017,2
38,7,5,Male,White,21,2017,2
39,9,6,Male,Unknown,20,2017,2
40,14,7,Male,Black,50,2017,2
41,17,8,Male,White,48,2017,2
42,18,9,Male,Black,30,2017,2
43,23,10,Male,White,12,2017,2
44,23,11,Male,Black,12,2017,2
45,23,12,Male,Black,30,2017,2
46,23,13,Male,Black,12,2017,2
47,26,14,Male,Black,13,2017,2
48,26,15,Male,Black,14,2017,2
49,28,16,Female,Black,38,2017,2
50,28,17,Male,White,39,2017,2
51,41,18,Male,White,13,2017,2
52,42,19,Male,Black,22,2017,2
53,46,20,Male,Black,14,2017,2
54,48,21,Male,Black,24,2017,2
55,49,22,Male,Black,31,2017,2
56,60,23,Male,Black,37,2017,2
57,60,24,Male,Black,32,2017,2
58,61,25,Male,White,50,2017,2
59,61,26,Male,White,36,2017,2
60,61,27,Male,Black,12,2017,2
61,63,28,Male,White,45,2017,2
62,66,29,Male,White,27,2017,2
