,precinct_number,Number,lat,lng,synagogue_count
0,1,6,40.7202702,-74.0071976,2
1,6,1,40.7342332,-74.00545319999999,2
2,9,2,40.7265591,-73.9878238,5
3,10,1,40.7427116,-73.998643,4
4,13,1,40.7367881,-73.9829079,4
5,14,9,40.7538904,-73.9948941,2
6,17,4,40.7567621,-73.9707858,7
7,18,4,40.7649517,-73.9851379,0
8,19,1,40.7671478,-73.9637748,3
9,20,4,40.78418120000001,-73.9749862,8
10,23,3,40.7891814,-73.9472169,0
11,24,1,40.796506,-73.9673459,5
12,25,3,40.8006969,-73.9411026,0
13,28,5,40.7521936,-73.993451,6
14,32,1,40.81573059999999,-73.9453589,0
15,33,2,40.840689,-73.9357066,0
16,34,4,40.8515464,-73.93538509999999,16
17,44,1,40.8372041,-73.9199079,0
18,50,2,40.8835686,-73.90231659999999,0
19,52,1,40.8690833,-73.8796248,0
20,60,2,40.576552,-73.9761158,3
21,61,2,40.5941521,-73.9605042,2
22,63,1,40.6279491,-73.94163069999999,4
23,66,7,40.6257117,-73.9913846,20
24,70,4,40.6303373,-73.9737354,18
25,71,20,40.6645922,-73.9478302,17
26,76,1,40.6838177,-74.0002196,1
27,77,2,40.6746488,-73.9302415,0
28,79,3,40.6888144,-73.9448433,0
29,81,1,40.6896649,-73.92445479999999,1
30,84,2,40.6955481,-73.98291689999999,0
31,88,1,40.69007089999999,-73.9605316,7
32,90,9,40.706273,-73.9507692,20
33,94,15,40.7266755,-73.95329509999999,2
34,101,1,40.6029091,-73.7499246,8
35,102,1,40.6987209,-73.8315671,1
36,111,1,40.7602441,-73.76778089999999,0
37,112,3,40.722358,-73.851468,4
38,114,1,40.7692816,-73.9153276,0
39,123,1,40.5118436,-74.2500359,1
