,precinct_number,Number,lat,lng,mosques_count
0,1,1,40.7202702,-74.0071976,0
1,5,1,40.7161942,-73.9974699,0
2,6,1,40.7342332,-74.00545319999999,0
3,7,1,40.7163623,-73.9839341,0
4,9,1,40.7265591,-73.9878238,1
5,10,1,40.7427116,-73.998643,0
6,14,1,40.7538904,-73.9948941,1
7,17,1,40.7567621,-73.9707858,2
8,18,2,40.7649517,-73.9851379,0
9,19,1,40.7671478,-73.9637748,1
10,24,1,40.796506,-73.9673459,0
11,41,1,40.8163245,-73.8956563,1
12,42,3,40.8225567,-73.9113843,0
13,49,1,40.8560259,-73.84442109999999,0
14,61,4,40.5941521,-73.9605042,0
15,62,1,40.6025018,-74.0031348,4
16,66,2,40.6257117,-73.9913846,0
17,68,1,40.6389811,-74.02262259999999,0
18,70,5,40.6303373,-73.9737354,1
19,71,1,40.6645922,-73.9478302,0
20,72,1,40.6583216,-74.0008623,0
21,75,2,40.6711825,-73.8815541,0
22,81,1,40.6896649,-73.92445479999999,1
23,83,1,40.6981474,-73.91784109999999,0
24,84,1,40.6955481,-73.98291689999999,0
25,102,1,40.6987209,-73.8315671,3
26,103,1,40.7070813,-73.7926447,1
27,106,1,40.68217430000001,-73.8397182,2
28,109,1,40.762361,-73.8270199,0
29,112,1,40.722358,-73.851468,0
30,113,3,40.6798013,-73.7756864,0
